YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2000,12,3,77.05,28.590999999999998,0.15,0.231,0.077
2000,12,4,77.05,28.590999999999998,-1.0,0.19399999999999998,0.042
2000,12,5,77.05,28.590999999999998,0.25,0.301,0.045
2000,12,6,77.05,28.590999999999998,-1.0,0.335,0.025
2000,12,7,77.05,28.590999999999998,0.26,0.26899999999999996,0.05
2000,12,8,77.05,28.590999999999998,-1.0,0.40299999999999997,0.07400000000000001
2000,12,9,77.05,28.590999999999998,0.21,0.23,0.055
2000,12,10,77.05,28.590999999999998,-1.0,0.396,0.004
2000,12,11,77.05,28.590999999999998,0.27,0.311,0.037000000000000005
2000,12,13,77.05,28.590999999999998,0.2,0.268,0.04
2000,12,14,77.05,28.590999999999998,0.36,0.38799999999999996,0.024
2000,12,15,77.05,28.590999999999998,-1.0,0.9129999999999999,-1.0
2000,12,18,77.05,28.590999999999998,0.54,0.603,0.127
2000,12,19,77.05,28.590999999999998,-1.0,0.19,0.028999999999999998
2000,12,20,77.05,28.590999999999998,-1.0,0.14,0.027999999999999997
2000,12,21,77.05,28.590999999999998,-1.0,0.267,0.036000000000000004
2000,12,22,77.05,28.590999999999998,0.3,0.379,0.105
2000,12,23,77.05,28.590999999999998,-1.0,0.40299999999999997,0.065
2000,12,24,77.05,28.590999999999998,-1.0,0.625,-1.0
2000,12,25,77.05,28.590999999999998,0.45,0.45299999999999996,0.068
2000,12,27,77.05,28.590999999999998,0.51,0.521,0.055999999999999994
2000,12,28,77.05,28.590999999999998,-1.0,0.7909999999999999,-1.0
2000,12,29,77.05,28.590999999999998,-1.0,0.555,0.098
2000,12,31,77.05,28.590999999999998,-1.0,0.318,0.019
2001,1,6,77.05,28.590999999999998,-1.0,1.659,0.14
2001,1,7,77.05,28.590999999999998,1.23,1.178,0.135
2001,1,13,77.05,28.590999999999998,-1.0,0.8079999999999999,-1.0
2001,1,14,77.05,28.590999999999998,0.36,0.384,0.15
2001,1,17,77.05,28.590999999999998,-1.0,0.488,-1.0
2001,1,19,77.05,28.590999999999998,-1.0,0.23399999999999999,0.11900000000000001
2001,1,20,77.05,28.590999999999998,-1.0,0.518,0.066
2001,1,21,77.05,28.590999999999998,0.73,0.812,0.124
2001,1,22,77.05,28.590999999999998,-1.0,1.2109999999999999,0.325
2001,1,24,77.05,28.590999999999998,-1.0,0.264,0.079
2001,1,25,77.05,28.590999999999998,0.17,0.171,0.011000000000000001
2001,1,26,77.05,28.590999999999998,0.22,0.261,0.081
2001,1,28,77.05,28.590999999999998,0.08,0.131,0.067
2001,1,29,77.05,28.590999999999998,-1.0,0.40299999999999997,0.035
2001,1,31,77.05,28.590999999999998,-1.0,0.6809999999999999,0.06
2001,2,1,77.05,28.590999999999998,-1.0,0.195,0.055
